datetime,wind_speed_10m,wind_direction_10m,temperature_2m,relative_humidity_2m,precipitation,hour,date,municipio
2020-11-07 00:00:00,4.7,328,23.8,98,0.3,0,2020-11-07,albania
2020-11-07 01:00:00,2.5,278,23.9,99,1.0,1,2020-11-07,albania
2020-11-07 02:00:00,2.2,351,23.7,99,0.1,2,2020-11-07,albania
2020-11-07 03:00:00,1.4,90,23.8,97,0.0,3,2020-11-07,albania
2020-11-07 04:00:00,3.1,111,23.6,97,0.0,4,2020-11-07,albania
2020-11-07 05:00:00,2.2,180,24.0,94,0.0,5,2020-11-07,albania
2020-11-07 06:00:00,3.2,207,23.1,99,0.0,6,2020-11-07,albania
2020-11-07 07:00:00,3.3,221,24.8,96,0.0,7,2020-11-07,albania
2020-11-07 08:00:00,3.3,221,26.1,88,0.0,8,2020-11-07,albania
2020-11-07 09:00:00,0.7,360,27.1,84,1.3,9,2020-11-07,albania
2020-11-07 10:00:00,1.9,68,27.0,84,0.7,10,2020-11-07,albania
2020-11-07 11:00:00,3.9,34,27.3,87,1.6,11,2020-11-07,albania
2020-11-07 12:00:00,6.0,33,27.5,82,0.2,12,2020-11-07,albania
2020-11-07 13:00:00,4.0,63,27.1,90,1.6,13,2020-11-07,albania
2020-11-07 14:00:00,6.0,335,25.9,91,6.9,14,2020-11-07,albania
2020-11-07 15:00:00,5.0,300,25.1,93,0.1,15,2020-11-07,albania
2020-11-07 16:00:00,2.8,310,25.2,93,0.2,16,2020-11-07,albania
2020-11-07 17:00:00,0.8,297,24.9,97,0.1,17,2020-11-07,albania
2020-11-07 18:00:00,3.8,139,23.9,98,0.0,18,2020-11-07,albania
2020-11-07 19:00:00,2.2,189,24.8,95,0.0,19,2020-11-07,albania
2020-11-07 20:00:00,3.2,180,24.4,96,0.0,20,2020-11-07,albania
2020-11-07 21:00:00,3.2,153,24.5,95,0.0,21,2020-11-07,albania
2020-11-07 22:00:00,3.5,156,24.2,97,0.0,22,2020-11-07,albania
2020-11-07 23:00:00,1.9,158,23.6,98,0.0,23,2020-11-07,albania
2020-11-08 00:00:00,0.5,135,23.0,96,0.0,0,2020-11-08,albania
2020-11-08 01:00:00,2.3,162,23.2,95,0.0,1,2020-11-08,albania
2020-11-08 02:00:00,2.7,157,23.4,94,0.0,2,2020-11-08,albania
2020-11-08 03:00:00,2.8,140,23.7,93,0.0,3,2020-11-08,albania
2020-11-08 04:00:00,3.9,112,23.3,95,0.0,4,2020-11-08,albania
2020-11-08 05:00:00,4.0,100,23.2,96,0.0,5,2020-11-08,albania
2020-11-08 06:00:00,3.7,119,23.2,96,0.0,6,2020-11-08,albania
2020-11-08 07:00:00,2.7,157,24.8,96,0.0,7,2020-11-08,albania
2020-11-08 08:00:00,1.9,22,26.3,91,0.0,8,2020-11-08,albania
2020-11-08 09:00:00,5.7,35,27.5,85,0.2,9,2020-11-08,albania
2020-11-08 10:00:00,4.7,23,28.5,79,0.1,10,2020-11-08,albania
2020-11-08 11:00:00,5.6,45,28.3,78,0.2,11,2020-11-08,albania
2020-11-08 12:00:00,2.6,56,28.1,82,0.3,12,2020-11-08,albania
