datetime,wind_speed_10m,wind_direction_10m,temperature_2m,relative_humidity_2m,precipitation,hour,date,municipio
2020-11-07 00:00:00,2.3,72,24.0,96,0.0,0,2020-11-07,distraccion
2020-11-07 01:00:00,2.2,90,23.7,97,0.1,1,2020-11-07,distraccion
2020-11-07 02:00:00,2.0,45,23.5,98,0.1,2,2020-11-07,distraccion
2020-11-07 03:00:00,2.9,97,23.3,98,0.0,3,2020-11-07,distraccion
2020-11-07 04:00:00,4.9,253,23.6,94,0.0,4,2020-11-07,distraccion
2020-11-07 05:00:00,3.7,191,23.1,93,0.0,5,2020-11-07,distraccion
2020-11-07 06:00:00,2.5,225,23.8,89,0.0,6,2020-11-07,distraccion
2020-11-07 07:00:00,1.5,225,24.3,86,0.0,7,2020-11-07,distraccion
2020-11-07 08:00:00,7.4,241,25.2,83,0.0,8,2020-11-07,distraccion
2020-11-07 09:00:00,7.2,243,26.2,78,0.0,9,2020-11-07,distraccion
2020-11-07 10:00:00,5.1,219,27.1,73,0.0,10,2020-11-07,distraccion
2020-11-07 11:00:00,4.8,228,27.8,69,0.0,11,2020-11-07,distraccion
2020-11-07 12:00:00,6.5,186,29.1,64,0.0,12,2020-11-07,distraccion
2020-11-07 13:00:00,8.8,145,29.2,65,0.0,13,2020-11-07,distraccion
2020-11-07 14:00:00,10.7,70,28.8,65,0.1,14,2020-11-07,distraccion
2020-11-07 15:00:00,12.3,32,27.0,74,0.0,15,2020-11-07,distraccion
2020-11-07 16:00:00,8.2,38,27.0,73,0.0,16,2020-11-07,distraccion
2020-11-07 17:00:00,6.1,40,26.4,77,0.0,17,2020-11-07,distraccion
2020-11-07 18:00:00,6.9,39,25.5,83,0.0,18,2020-11-07,distraccion
2020-11-07 19:00:00,5.4,37,25.3,87,0.0,19,2020-11-07,distraccion
2020-11-07 20:00:00,5.6,45,25.0,88,0.0,20,2020-11-07,distraccion
2020-11-07 21:00:00,5.6,40,24.4,91,0.0,21,2020-11-07,distraccion
2020-11-07 22:00:00,5.4,37,24.2,92,0.0,22,2020-11-07,distraccion
2020-11-07 23:00:00,4.0,27,23.6,95,0.0,23,2020-11-07,distraccion
2020-11-08 00:00:00,3.6,45,23.2,96,0.0,0,2020-11-08,distraccion
2020-11-08 01:00:00,3.9,68,23.1,96,0.0,1,2020-11-08,distraccion
2020-11-08 02:00:00,4.5,61,23.0,95,0.1,2,2020-11-08,distraccion
2020-11-08 03:00:00,4.1,38,22.8,95,0.0,3,2020-11-08,distraccion
