datetime,wind_speed_10m,wind_direction_10m,temperature_2m,relative_humidity_2m,precipitation,hour,date,municipio
2020-09-26 00:00:00,9.7,31.0,26.1,78.0,0.0,0,2020-09-26,el_molino
2020-09-26 01:00:00,9.4,32.0,25.5,80.0,0.0,1,2020-09-26,el_molino
2020-09-26 02:00:00,9.4,43.0,25.1,80.0,0.0,2,2020-09-26,el_molino
2020-09-26 03:00:00,8.7,38.0,24.9,81.0,0.0,3,2020-09-26,el_molino
2020-09-26 04:00:00,10.3,36.0,24.9,80.0,0.0,4,2020-09-26,el_molino
2020-09-26 05:00:00,10.0,38.0,24.9,81.0,0.0,5,2020-09-26,el_molino
2020-09-26 06:00:00,10.0,49.0,24.9,80.0,0.0,6,2020-09-26,el_molino
2020-09-26 07:00:00,13.6,40.0,27.5,67.0,0.0,7,2020-09-26,el_molino
2020-09-26 08:00:00,16.2,21.0,30.2,58.0,0.0,8,2020-09-26,el_molino
2020-09-26 09:00:00,18.3,20.0,32.7,47.0,0.0,9,2020-09-26,el_molino
2020-09-26 10:00:00,20.5,18.0,34.9,38.0,0.0,10,2020-09-26,el_molino
2020-09-26 11:00:00,22.7,15.0,36.5,33.0,0.0,11,2020-09-26,el_molino
2020-09-26 12:00:00,22.9,8.0,36.3,34.0,0.0,12,2020-09-26,el_molino
2020-09-26 13:00:00,18.9,13.0,37.3,30.0,0.0,13,2020-09-26,el_molino
2020-09-26 14:00:00,17.4,22.0,36.8,28.0,0.0,14,2020-09-26,el_molino
2020-09-26 15:00:00,14.3,28.0,36.3,29.0,0.2,15,2020-09-26,el_molino
2020-09-26 16:00:00,5.9,14.0,34.9,32.0,0.1,16,2020-09-26,el_molino
2020-09-26 17:00:00,3.4,288.0,33.0,35.0,0.0,17,2020-09-26,el_molino
2020-09-26 18:00:00,6.6,248.0,29.8,53.0,0.1,18,2020-09-26,el_molino
2020-09-26 19:00:00,2.3,198.0,28.7,61.0,0.0,19,2020-09-26,el_molino
2020-09-26 20:00:00,3.1,216.0,28.8,63.0,0.0,20,2020-09-26,el_molino
2020-09-26 21:00:00,2.2,189.0,28.0,67.0,0.0,21,2020-09-26,el_molino
2020-09-26 22:00:00,3.0,194.0,27.0,71.0,0.0,22,2020-09-26,el_molino
2020-09-26 23:00:00,5.5,191.0,26.8,72.0,0.0,23,2020-09-26,el_molino
2020-09-27 00:00:00,5.5,203.0,26.0,75.0,0.0,0,2020-09-27,el_molino
2020-09-27 01:00:00,4.2,200.0,25.2,78.0,0.0,1,2020-09-27,el_molino
2020-09-27 02:00:00,1.8,180.0,24.7,78.0,0.0,2,2020-09-27,el_molino
2020-09-27 03:00:00,0.4,180.0,24.4,79.0,0.0,3,2020-09-27,el_molino
2020-09-27 04:00:00,6.1,50.0,24.4,77.0,0.0,4,2020-09-27,el_molino
2020-09-27 05:00:00,5.5,58.0,24.2,74.0,0.0,5,2020-09-27,el_molino
2020-09-27 06:00:00,5.7,35.0,24.6,74.0,0.0,6,2020-09-27,el_molino
