datetime,wind_speed_10m,wind_direction_10m,temperature_2m,relative_humidity_2m,precipitation,hour,date,municipio
2020-11-07 00:00:00,2.7,337,23.4,98,1.1,0,2020-11-07,hatonuevo
2020-11-07 01:00:00,1.5,225,23.3,97,0.8,1,2020-11-07,hatonuevo
2020-11-07 02:00:00,1.3,326,23.0,99,0.1,2,2020-11-07,hatonuevo
2020-11-07 03:00:00,1.9,202,22.9,99,0.0,3,2020-11-07,hatonuevo
2020-11-07 04:00:00,1.3,304,22.6,99,0.0,4,2020-11-07,hatonuevo
2020-11-07 05:00:00,3.4,238,22.4,99,0.0,5,2020-11-07,hatonuevo
2020-11-07 06:00:00,3.8,229,22.9,97,0.0,6,2020-11-07,hatonuevo
2020-11-07 07:00:00,4.1,218,23.9,96,0.0,7,2020-11-07,hatonuevo
2020-11-07 08:00:00,5.2,192,25.2,90,0.0,8,2020-11-07,hatonuevo
2020-11-07 09:00:00,4.9,197,26.5,83,0.0,9,2020-11-07,hatonuevo
2020-11-07 10:00:00,5.1,188,27.3,78,0.0,10,2020-11-07,hatonuevo
2020-11-07 11:00:00,3.0,166,28.2,73,0.1,11,2020-11-07,hatonuevo
2020-11-07 12:00:00,2.5,8,28.9,72,0.1,12,2020-11-07,hatonuevo
2020-11-07 13:00:00,8.6,15,26.0,86,5.6,13,2020-11-07,hatonuevo
2020-11-07 14:00:00,6.3,13,25.9,83,2.5,14,2020-11-07,hatonuevo
2020-11-07 15:00:00,5.2,344,25.5,89,0.2,15,2020-11-07,hatonuevo
2020-11-07 16:00:00,5.3,28,25.1,93,0.1,16,2020-11-07,hatonuevo
2020-11-07 17:00:00,4.2,59,24.5,96,0.0,17,2020-11-07,hatonuevo
2020-11-07 18:00:00,2.7,67,23.6,99,0.0,18,2020-11-07,hatonuevo
2020-11-07 19:00:00,2.5,352,24.0,100,0.0,19,2020-11-07,hatonuevo
2020-11-07 20:00:00,1.8,360,23.9,100,0.0,20,2020-11-07,hatonuevo
2020-11-07 21:00:00,1.8,307,24.1,99,0.0,21,2020-11-07,hatonuevo
2020-11-07 22:00:00,1.5,284,23.1,100,0.0,22,2020-11-07,hatonuevo
2020-11-07 23:00:00,2.1,301,23.0,100,0.0,23,2020-11-07,hatonuevo
2020-11-08 00:00:00,2.8,310,22.8,100,0.0,0,2020-11-08,hatonuevo
2020-11-08 01:00:00,2.1,301,23.2,97,0.0,1,2020-11-08,hatonuevo
2020-11-08 02:00:00,1.8,270,23.5,96,0.0,2,2020-11-08,hatonuevo
2020-11-08 03:00:00,0.5,315,23.5,95,0.0,3,2020-11-08,hatonuevo
2020-11-08 04:00:00,3.8,343,22.7,97,0.0,4,2020-11-08,hatonuevo
2020-11-08 05:00:00,4.0,355,22.7,96,0.0,5,2020-11-08,hatonuevo
2020-11-08 06:00:00,4.5,346,22.9,97,0.0,6,2020-11-08,hatonuevo
2020-11-08 07:00:00,2.2,279,24.3,94,0.0,7,2020-11-08,hatonuevo
2020-11-08 08:00:00,0.4,360,25.6,90,0.0,8,2020-11-08,hatonuevo
2020-11-08 09:00:00,5.0,60,27.2,81,0.0,9,2020-11-08,hatonuevo
2020-11-08 10:00:00,7.1,41,28.3,77,0.1,10,2020-11-08,hatonuevo
2020-11-08 11:00:00,8.2,38,28.7,78,0.1,11,2020-11-08,hatonuevo
2020-11-08 12:00:00,9.1,34,27.5,79,4.0,12,2020-11-08,hatonuevo
2020-11-08 13:00:00,4.7,9,27.0,84,1.6,13,2020-11-08,hatonuevo
2020-11-08 14:00:00,4.1,345,27.5,86,1.6,14,2020-11-08,hatonuevo
2020-11-08 15:00:00,7.6,3,26.5,85,1.1,15,2020-11-08,hatonuevo
2020-11-08 16:00:00,6.6,22,25.1,94,1.9,16,2020-11-08,hatonuevo
2020-11-08 17:00:00,3.3,13,24.7,99,0.7,17,2020-11-08,hatonuevo
2020-11-08 18:00:00,0.5,135,24.3,100,0.1,18,2020-11-08,hatonuevo
2020-11-08 19:00:00,3.4,18,24.4,97,0.0,19,2020-11-08,hatonuevo
2020-11-08 20:00:00,3.0,14,24.3,96,0.0,20,2020-11-08,hatonuevo
2020-11-08 21:00:00,2.3,39,24.4,95,0.0,21,2020-11-08,hatonuevo
2020-11-08 22:00:00,2.3,219,23.9,97,0.0,22,2020-11-08,hatonuevo
2020-11-08 23:00:00,1.8,259,23.5,98,0.0,23,2020-11-08,hatonuevo
2020-11-09 00:00:00,1.9,292,23.2,98,0.0,0,2020-11-09,hatonuevo
2020-11-09 01:00:00,2.6,326,23.6,96,0.1,1,2020-11-09,hatonuevo
2020-11-09 02:00:00,0.8,297,23.5,96,0.1,2,2020-11-09,hatonuevo
2020-11-09 03:00:00,1.8,307,22.7,98,0.0,3,2020-11-09,hatonuevo
2020-11-09 04:00:00,1.5,284,23.0,96,0.0,4,2020-11-09,hatonuevo
2020-11-09 05:00:00,0.8,297,23.5,94,0.0,5,2020-11-09,hatonuevo
2020-11-09 06:00:00,1.4,270,23.6,93,0.0,6,2020-11-09,hatonuevo
2020-11-09 07:00:00,2.6,16,24.7,93,0.0,7,2020-11-09,hatonuevo
2020-11-09 08:00:00,3.6,53,26.4,84,0.0,8,2020-11-09,hatonuevo
2020-11-09 09:00:00,6.2,54,27.6,78,0.0,9,2020-11-09,hatonuevo
2020-11-09 10:00:00,7.7,41,28.6,72,0.0,10,2020-11-09,hatonuevo
2020-11-09 11:00:00,9.4,32,29.5,67,0.0,11,2020-11-09,hatonuevo
2020-11-09 12:00:00,11.4,35,30.0,64,0.0,12,2020-11-09,hatonuevo
2020-11-09 13:00:00,10.3,25,29.7,65,0.1,13,2020-11-09,hatonuevo
2020-11-09 14:00:00,10.9,9,29.3,66,0.2,14,2020-11-09,hatonuevo
2020-11-09 15:00:00,12.6,357,27.6,78,0.1,15,2020-11-09,hatonuevo
2020-11-09 16:00:00,8.3,5,26.0,86,1.2,16,2020-11-09,hatonuevo
2020-11-09 17:00:00,5.5,23,24.8,97,1.6,17,2020-11-09,hatonuevo
2020-11-09 18:00:00,3.5,24,24.4,99,0.9,18,2020-11-09,hatonuevo
2020-11-09 19:00:00,2.3,342,24.6,99,0.3,19,2020-11-09,hatonuevo
2020-11-09 20:00:00,2.9,353,24.7,98,0.1,20,2020-11-09,hatonuevo
2020-11-09 21:00:00,4.4,9,24.0,99,1.3,21,2020-11-09,hatonuevo
2020-11-09 22:00:00,1.8,349,23.9,100,0.1,22,2020-11-09,hatonuevo
2020-11-09 23:00:00,1.8,307,23.4,99,0.0,23,2020-11-09,hatonuevo
2020-11-10 00:00:00,2.4,297,23.3,98,0.0,0,2020-11-10,hatonuevo
2020-11-10 01:00:00,1.8,270,24.6,89,0.0,1,2020-11-10,hatonuevo
2020-11-10 02:00:00,0.4,270,24.3,91,0.0,2,2020-11-10,hatonuevo
2020-11-10 03:00:00,1.0,315,23.3,95,0.0,3,2020-11-10,hatonuevo
2020-11-10 04:00:00,2.5,278,23.0,96,0.0,4,2020-11-10,hatonuevo
2020-11-10 05:00:00,4.0,275,22.7,98,0.0,5,2020-11-10,hatonuevo
2020-11-10 06:00:00,3.6,264,22.6,98,0.0,6,2020-11-10,hatonuevo
2020-11-10 07:00:00,3.3,264,24.5,95,0.0,7,2020-11-10,hatonuevo
2020-11-10 08:00:00,1.3,304,26.2,88,0.0,8,2020-11-10,hatonuevo
2020-11-10 09:00:00,2.8,40,27.7,77,0.0,9,2020-11-10,hatonuevo
2020-11-10 10:00:00,5.1,39,29.0,68,0.0,10,2020-11-10,hatonuevo
2020-11-10 11:00:00,7.3,33,29.8,65,0.0,11,2020-11-10,hatonuevo
2020-11-10 12:00:00,9.2,31,30.2,65,0.0,12,2020-11-10,hatonuevo
2020-11-10 13:00:00,10.0,21,30.1,65,0.1,13,2020-11-10,hatonuevo
2020-11-10 14:00:00,11.9,3,28.1,74,0.6,14,2020-11-10,hatonuevo
2020-11-10 15:00:00,7.7,11,27.1,82,0.6,15,2020-11-10,hatonuevo
2020-11-10 16:00:00,7.6,19,25.5,90,2.2,16,2020-11-10,hatonuevo
2020-11-10 17:00:00,5.5,11,24.8,94,0.2,17,2020-11-10,hatonuevo
2020-11-10 18:00:00,2.6,34,24.3,98,0.3,18,2020-11-10,hatonuevo
2020-11-10 19:00:00,3.7,61,24.5,98,0.3,19,2020-11-10,hatonuevo
2020-11-10 20:00:00,3.5,66,24.4,97,0.1,20,2020-11-10,hatonuevo
2020-11-10 21:00:00,3.1,36,24.3,96,0.1,21,2020-11-10,hatonuevo
2020-11-10 22:00:00,2.3,342,24.1,95,0.0,22,2020-11-10,hatonuevo
2020-11-10 23:00:00,1.5,315,23.8,96,0.0,23,2020-11-10,hatonuevo
2020-11-11 00:00:00,2.3,321,23.1,97,0.0,0,2020-11-11,hatonuevo
2020-11-11 01:00:00,2.5,315,22.9,97,0.0,1,2020-11-11,hatonuevo
2020-11-11 02:00:00,2.3,309,22.9,96,0.0,2,2020-11-11,hatonuevo
2020-11-11 03:00:00,2.3,321,23.3,96,0.3,3,2020-11-11,hatonuevo
2020-11-11 04:00:00,1.8,281,23.1,98,0.1,4,2020-11-11,hatonuevo
2020-11-11 05:00:00,3.5,246,23.1,95,0.0,5,2020-11-11,hatonuevo
2020-11-11 06:00:00,4.8,228,23.0,97,0.0,6,2020-11-11,hatonuevo
2020-11-11 07:00:00,1.1,288,24.5,95,0.0,7,2020-11-11,hatonuevo
2020-11-11 08:00:00,1.8,360,26.4,87,0.0,8,2020-11-11,hatonuevo
2020-11-11 09:00:00,3.4,32,27.5,82,0.0,9,2020-11-11,hatonuevo
2020-11-11 10:00:00,4.8,63,28.8,74,0.0,10,2020-11-11,hatonuevo
2020-11-11 11:00:00,6.6,45,29.8,69,0.0,11,2020-11-11,hatonuevo
2020-11-11 12:00:00,8.2,23,30.8,65,0.0,12,2020-11-11,hatonuevo
2020-11-11 13:00:00,9.5,37,30.1,67,0.1,13,2020-11-11,hatonuevo
2020-11-11 14:00:00,1.6,63,29.6,73,0.5,14,2020-11-11,hatonuevo
2020-11-11 15:00:00,3.4,18,27.4,81,0.5,15,2020-11-11,hatonuevo
2020-11-11 16:00:00,3.6,6,25.6,92,1.9,16,2020-11-11,hatonuevo
2020-11-11 17:00:00,1.8,53,25.1,95,0.7,17,2020-11-11,hatonuevo
2020-11-11 18:00:00,2.6,56,24.7,98,0.2,18,2020-11-11,hatonuevo
2020-11-11 19:00:00,2.3,219,24.0,99,0.4,19,2020-11-11,hatonuevo
2020-11-11 20:00:00,2.4,243,24.3,96,0.2,20,2020-11-11,hatonuevo
2020-11-11 21:00:00,4.3,246,24.2,95,0.1,21,2020-11-11,hatonuevo
2020-11-11 22:00:00,6.6,229,24.0,95,0.0,22,2020-11-11,hatonuevo
2020-11-11 23:00:00,7.2,217,23.5,99,0.3,23,2020-11-11,hatonuevo
2020-11-12 00:00:00,7.4,219,23.2,99,0.3,0,2020-11-12,hatonuevo
2020-11-12 01:00:00,7.9,223,23.1,97,0.0,1,2020-11-12,hatonuevo
2020-11-12 02:00:00,6.6,209,23.1,98,0.0,2,2020-11-12,hatonuevo
2020-11-12 03:00:00,4.6,219,22.8,98,0.0,3,2020-11-12,hatonuevo
