datetime,wind_speed_10m,wind_direction_10m,temperature_2m,relative_humidity_2m,precipitation,hour,date,municipio
2020-11-07 00:00:00,9.8,294,24.4,96,0.0,0,2020-11-07,maicao
2020-11-07 01:00:00,9.2,296,24.1,98,0.0,1,2020-11-07,maicao
2020-11-07 02:00:00,6.8,302,23.7,98,0.8,2,2020-11-07,maicao
2020-11-07 03:00:00,3.3,264,23.5,99,0.1,3,2020-11-07,maicao
2020-11-07 04:00:00,4.7,247,23.5,99,0.0,4,2020-11-07,maicao
2020-11-07 05:00:00,5.9,259,23.3,98,0.0,5,2020-11-07,maicao
2020-11-07 06:00:00,6.5,273,23.3,96,0.0,6,2020-11-07,maicao
2020-11-07 07:00:00,5.5,281,25.1,91,0.0,7,2020-11-07,maicao
2020-11-07 08:00:00,5.1,321,26.3,87,0.1,8,2020-11-07,maicao
2020-11-07 09:00:00,6.9,313,26.2,88,1.8,9,2020-11-07,maicao
2020-11-07 10:00:00,5.9,317,26.0,87,2.3,10,2020-11-07,maicao
2020-11-07 11:00:00,4.6,342,26.9,83,0.2,11,2020-11-07,maicao
2020-11-07 12:00:00,5.0,300,28.1,80,0.3,12,2020-11-07,maicao
2020-11-07 13:00:00,4.7,337,28.2,78,1.1,13,2020-11-07,maicao
2020-11-07 14:00:00,4.1,308,25.8,89,5.5,14,2020-11-07,maicao
2020-11-07 15:00:00,6.1,310,26.1,89,0.1,15,2020-11-07,maicao
2020-11-07 16:00:00,9.5,323,26.2,88,0.9,16,2020-11-07,maicao
2020-11-07 17:00:00,6.4,297,25.7,91,0.2,17,2020-11-07,maicao
2020-11-07 18:00:00,4.7,279,24.9,96,0.0,18,2020-11-07,maicao
2020-11-07 19:00:00,7.8,283,25.5,94,0.0,19,2020-11-07,maicao
2020-11-07 20:00:00,7.4,284,25.3,94,0.0,20,2020-11-07,maicao
2020-11-07 21:00:00,6.2,263,24.8,96,0.0,21,2020-11-07,maicao
2020-11-07 22:00:00,5.7,252,24.5,97,0.0,22,2020-11-07,maicao
2020-11-07 23:00:00,4.0,260,24.4,96,0.0,23,2020-11-07,maicao
2020-11-08 00:00:00,5.4,290,24.1,97,0.0,0,2020-11-08,maicao
2020-11-08 01:00:00,3.6,276,24.0,97,0.0,1,2020-11-08,maicao
2020-11-08 02:00:00,1.0,135,24.1,96,0.2,2,2020-11-08,maicao
2020-11-08 03:00:00,2.4,117,23.8,98,1.4,3,2020-11-08,maicao
2020-11-08 04:00:00,0.5,225,24.0,97,0.1,4,2020-11-08,maicao
2020-11-08 05:00:00,1.5,166,23.8,98,0.0,5,2020-11-08,maicao
2020-11-08 06:00:00,4.9,163,23.7,98,0.0,6,2020-11-08,maicao
