datetime,wind_speed_10m,wind_direction_10m,temperature_2m,relative_humidity_2m,precipitation,hour,date,municipio
2020-11-07 00:00:00,6.8,302,25.2,93,0.2,0,2020-11-07,manaure
2020-11-07 01:00:00,5.6,315,25.0,94,0.1,1,2020-11-07,manaure
2020-11-07 02:00:00,3.7,299,25.1,95,0.1,2,2020-11-07,manaure
2020-11-07 03:00:00,3.1,234,25.0,94,0.4,3,2020-11-07,manaure
2020-11-07 04:00:00,3.5,204,24.9,96,0.1,4,2020-11-07,manaure
2020-11-07 05:00:00,5.2,196,24.7,97,0.8,5,2020-11-07,manaure
2020-11-07 06:00:00,6.7,216,24.4,97,1.4,6,2020-11-07,manaure
2020-11-07 07:00:00,2.9,300,24.8,94,0.3,7,2020-11-07,manaure
2020-11-07 08:00:00,9.4,320,25.5,89,0.1,8,2020-11-07,manaure
2020-11-07 09:00:00,3.8,287,25.9,87,0.1,9,2020-11-07,manaure
2020-11-07 10:00:00,3.6,270,26.0,86,0.1,10,2020-11-07,manaure
2020-11-07 11:00:00,8.1,315,26.2,85,0.1,11,2020-11-07,manaure
2020-11-07 12:00:00,8.7,308,26.6,84,0.1,12,2020-11-07,manaure
2020-11-07 13:00:00,8.4,317,27.1,82,0.3,13,2020-11-07,manaure
2020-11-07 14:00:00,7.1,330,26.4,86,1.8,14,2020-11-07,manaure
2020-11-07 15:00:00,12.7,325,26.7,84,0.1,15,2020-11-07,manaure
2020-11-07 16:00:00,7.7,332,26.9,83,0.0,16,2020-11-07,manaure
2020-11-07 17:00:00,6.0,327,26.6,86,0.0,17,2020-11-07,manaure
2020-11-07 18:00:00,3.2,360,26.0,90,0.0,18,2020-11-07,manaure
2020-11-07 19:00:00,6.2,324,27.1,87,0.0,19,2020-11-07,manaure
2020-11-07 20:00:00,4.6,321,26.6,89,0.0,20,2020-11-07,manaure
2020-11-07 21:00:00,5.4,323,26.1,93,0.0,21,2020-11-07,manaure
2020-11-07 22:00:00,2.3,252,27.1,89,0.0,22,2020-11-07,manaure
2020-11-07 23:00:00,4.0,270,25.6,97,0.0,23,2020-11-07,manaure
2020-11-08 00:00:00,9.1,304,25.9,95,0.0,0,2020-11-08,manaure
2020-11-08 01:00:00,5.7,305,25.8,93,0.0,1,2020-11-08,manaure
2020-11-08 02:00:00,4.0,280,25.2,95,0.0,2,2020-11-08,manaure
2020-11-08 03:00:00,1.6,207,25.9,92,0.0,3,2020-11-08,manaure
2020-11-08 04:00:00,3.9,146,24.6,99,0.0,4,2020-11-08,manaure
2020-11-08 05:00:00,4.8,138,24.8,98,0.1,5,2020-11-08,manaure
2020-11-08 06:00:00,4.9,163,24.6,98,0.0,6,2020-11-08,manaure
2020-11-08 07:00:00,4.8,153,25.5,93,0.0,7,2020-11-08,manaure
2020-11-08 08:00:00,6.4,133,26.7,87,0.0,8,2020-11-08,manaure
2020-11-08 09:00:00,1.3,56,27.6,82,0.0,9,2020-11-08,manaure
2020-11-08 10:00:00,2.8,50,28.3,80,0.1,10,2020-11-08,manaure
2020-11-08 11:00:00,2.3,18,28.9,80,0.1,11,2020-11-08,manaure
2020-11-08 12:00:00,5.6,345,29.1,79,0.2,12,2020-11-08,manaure
2020-11-08 13:00:00,12.7,325,28.5,80,3.7,13,2020-11-08,manaure
2020-11-08 14:00:00,6.5,3,27.4,85,1.1,14,2020-11-08,manaure
2020-11-08 15:00:00,8.7,355,27.4,83,0.1,15,2020-11-08,manaure
2020-11-08 16:00:00,10.0,347,27.6,82,0.2,16,2020-11-08,manaure
2020-11-08 17:00:00,4.0,350,27.2,84,0.1,17,2020-11-08,manaure
2020-11-08 18:00:00,4.6,321,26.8,88,0.0,18,2020-11-08,manaure
2020-11-08 19:00:00,1.8,127,26.5,90,0.1,19,2020-11-08,manaure
2020-11-08 20:00:00,3.4,328,26.1,91,0.1,20,2020-11-08,manaure
2020-11-08 21:00:00,0.5,135,26.4,90,0.1,21,2020-11-08,manaure
2020-11-08 22:00:00,0.7,180,26.3,92,0.0,22,2020-11-08,manaure
2020-11-08 23:00:00,1.8,180,25.7,96,0.0,23,2020-11-08,manaure
2020-11-09 00:00:00,4.4,215,25.3,96,0.8,0,2020-11-09,manaure
2020-11-09 01:00:00,6.4,223,25.0,96,0.0,1,2020-11-09,manaure
2020-11-09 02:00:00,3.4,212,24.8,96,0.0,2,2020-11-09,manaure
2020-11-09 03:00:00,3.8,221,24.8,97,0.0,3,2020-11-09,manaure
2020-11-09 04:00:00,5.0,210,24.7,98,0.0,4,2020-11-09,manaure
2020-11-09 05:00:00,4.7,203,24.7,98,0.0,5,2020-11-09,manaure
2020-11-09 06:00:00,5.2,168,24.7,97,0.0,6,2020-11-09,manaure
2020-11-09 07:00:00,5.9,169,25.9,92,0.0,7,2020-11-09,manaure
2020-11-09 08:00:00,4.4,171,27.3,84,0.0,8,2020-11-09,manaure
2020-11-09 09:00:00,3.9,112,28.4,79,0.0,9,2020-11-09,manaure
2020-11-09 10:00:00,4.0,63,29.3,74,0.0,10,2020-11-09,manaure
2020-11-09 11:00:00,6.6,29,29.9,70,0.1,11,2020-11-09,manaure
2020-11-09 12:00:00,11.2,2,29.7,73,0.1,12,2020-11-09,manaure
2020-11-09 13:00:00,12.1,348,28.8,77,0.2,13,2020-11-09,manaure
2020-11-09 14:00:00,10.1,356,29.0,76,0.0,14,2020-11-09,manaure
2020-11-09 15:00:00,11.5,4,28.3,79,0.9,15,2020-11-09,manaure
2020-11-09 16:00:00,9.7,15,28.0,80,0.6,16,2020-11-09,manaure
2020-11-09 17:00:00,8.0,10,27.8,81,0.0,17,2020-11-09,manaure
2020-11-09 18:00:00,7.6,5,27.4,83,0.0,18,2020-11-09,manaure
2020-11-09 19:00:00,8.7,5,27.7,82,0.0,19,2020-11-09,manaure
2020-11-09 20:00:00,6.5,19,27.4,83,0.0,20,2020-11-09,manaure
2020-11-09 21:00:00,5.6,27,27.2,86,0.0,21,2020-11-09,manaure
2020-11-09 22:00:00,4.8,42,26.7,89,0.0,22,2020-11-09,manaure
2020-11-09 23:00:00,4.9,54,26.3,92,0.0,23,2020-11-09,manaure
2020-11-10 00:00:00,5.2,56,25.8,95,0.0,0,2020-11-10,manaure
2020-11-10 01:00:00,4.1,75,25.4,96,0.2,1,2020-11-10,manaure
2020-11-10 02:00:00,5.9,128,25.2,99,0.2,2,2020-11-10,manaure
2020-11-10 03:00:00,6.1,135,25.0,96,0.6,3,2020-11-10,manaure
2020-11-10 04:00:00,5.7,145,24.8,96,0.2,4,2020-11-10,manaure
2020-11-10 05:00:00,1.8,169,24.6,96,0.0,5,2020-11-10,manaure
2020-11-10 06:00:00,2.9,173,24.3,97,0.0,6,2020-11-10,manaure
2020-11-10 07:00:00,5.5,169,26.0,90,0.0,7,2020-11-10,manaure
2020-11-10 08:00:00,3.4,148,27.2,84,0.0,8,2020-11-10,manaure
2020-11-10 09:00:00,2.1,59,28.3,78,0.0,9,2020-11-10,manaure
2020-11-10 10:00:00,6.0,17,29.1,75,0.0,10,2020-11-10,manaure
2020-11-10 11:00:00,9.0,355,29.4,74,0.1,11,2020-11-10,manaure
2020-11-10 12:00:00,11.7,342,28.7,79,0.2,12,2020-11-10,manaure
2020-11-10 13:00:00,10.5,354,28.9,75,0.0,13,2020-11-10,manaure
2020-11-10 14:00:00,13.3,2,29.0,74,0.2,14,2020-11-10,manaure
2020-11-10 15:00:00,11.5,14,28.6,75,0.1,15,2020-11-10,manaure
2020-11-10 16:00:00,12.1,10,28.2,78,0.2,16,2020-11-10,manaure
2020-11-10 17:00:00,12.1,27,27.7,81,0.0,17,2020-11-10,manaure
2020-11-10 18:00:00,12.7,43,26.9,86,0.4,18,2020-11-10,manaure
2020-11-10 19:00:00,6.9,28,27.4,85,0.6,19,2020-11-10,manaure
2020-11-10 20:00:00,3.9,56,26.8,90,0.0,20,2020-11-10,manaure
2020-11-10 21:00:00,4.0,100,26.0,96,0.0,21,2020-11-10,manaure
2020-11-10 22:00:00,4.0,153,25.7,96,0.0,22,2020-11-10,manaure
2020-11-10 23:00:00,3.6,186,25.4,97,0.0,23,2020-11-10,manaure
2020-11-11 00:00:00,3.9,214,25.3,98,0.0,0,2020-11-11,manaure
2020-11-11 01:00:00,3.8,229,25.2,99,0.0,1,2020-11-11,manaure
2020-11-11 02:00:00,4.3,228,24.8,99,0.0,2,2020-11-11,manaure
