datetime,wind_speed_10m,wind_direction_10m,temperature_2m,relative_humidity_2m,precipitation,hour,date,municipio
2020-11-07 00:00:00,8.3,288,25.2,93,0.1,0,2020-11-07,riohacha
2020-11-07 01:00:00,4.7,261,24.8,94,0.7,1,2020-11-07,riohacha
2020-11-07 02:00:00,4.3,228,24.7,96,1.0,2,2020-11-07,riohacha
2020-11-07 03:00:00,3.9,202,24.5,97,0.1,3,2020-11-07,riohacha
2020-11-07 04:00:00,5.2,168,24.3,97,0.1,4,2020-11-07,riohacha
2020-11-07 05:00:00,6.0,163,23.9,97,0.0,5,2020-11-07,riohacha
2020-11-07 06:00:00,2.8,140,23.9,96,0.0,6,2020-11-07,riohacha
2020-11-07 07:00:00,1.4,90,25.4,94,0.6,7,2020-11-07,riohacha
2020-11-07 08:00:00,5.0,21,26.0,86,1.9,8,2020-11-07,riohacha
2020-11-07 09:00:00,4.3,48,26.1,88,0.3,9,2020-11-07,riohacha
2020-11-07 10:00:00,3.6,37,26.9,85,0.9,10,2020-11-07,riohacha
2020-11-07 11:00:00,7.2,357,27.5,86,0.3,11,2020-11-07,riohacha
2020-11-07 12:00:00,10.3,324,27.1,86,3.1,12,2020-11-07,riohacha
2020-11-07 13:00:00,8.7,322,27.4,84,0.5,13,2020-11-07,riohacha
2020-11-07 14:00:00,7.7,349,26.9,86,3.6,14,2020-11-07,riohacha
2020-11-07 15:00:00,8.0,324,26.4,87,2.3,15,2020-11-07,riohacha
2020-11-07 16:00:00,5.9,308,26.4,87,0.0,16,2020-11-07,riohacha
2020-11-07 17:00:00,2.9,300,26.1,90,0.0,17,2020-11-07,riohacha
2020-11-07 18:00:00,0.8,153,26.1,89,0.0,18,2020-11-07,riohacha
2020-11-07 19:00:00,2.3,231,27.0,86,0.0,19,2020-11-07,riohacha
2020-11-07 20:00:00,1.9,158,26.4,90,0.0,20,2020-11-07,riohacha
2020-11-07 21:00:00,4.6,141,25.4,96,0.0,21,2020-11-07,riohacha
