datetime,wind_speed_10m,wind_direction_10m,temperature_2m,relative_humidity_2m,precipitation,hour,date,municipio
2020-11-07 00:00:00,1.4,90,24.8,83,0.0,0,2020-11-07,san_juan_del_cesar
2020-11-07 01:00:00,3.2,90,24.5,87,0.0,1,2020-11-07,san_juan_del_cesar
2020-11-07 02:00:00,1.1,288,24.2,89,0.0,2,2020-11-07,san_juan_del_cesar
2020-11-07 03:00:00,3.6,270,23.3,95,0.0,3,2020-11-07,san_juan_del_cesar
2020-11-07 04:00:00,3.3,276,23.3,94,0.0,4,2020-11-07,san_juan_del_cesar
2020-11-07 05:00:00,4.0,270,22.5,97,0.0,5,2020-11-07,san_juan_del_cesar
2020-11-07 06:00:00,3.1,306,22.9,96,0.0,6,2020-11-07,san_juan_del_cesar
2020-11-07 07:00:00,4.4,279,23.8,90,0.0,7,2020-11-07,san_juan_del_cesar
2020-11-07 08:00:00,6.6,257,25.0,85,0.0,8,2020-11-07,san_juan_del_cesar
2020-11-07 09:00:00,7.1,225,26.2,79,0.0,9,2020-11-07,san_juan_del_cesar
2020-11-07 10:00:00,5.5,212,27.0,75,0.0,10,2020-11-07,san_juan_del_cesar
2020-11-07 11:00:00,7.2,217,28.3,69,0.0,11,2020-11-07,san_juan_del_cesar
2020-11-07 12:00:00,8.1,212,29.3,63,0.0,12,2020-11-07,san_juan_del_cesar
2020-11-07 13:00:00,5.1,172,29.4,61,0.0,13,2020-11-07,san_juan_del_cesar
2020-11-07 14:00:00,7.8,103,29.5,61,0.0,14,2020-11-07,san_juan_del_cesar
2020-11-07 15:00:00,10.6,35,28.4,65,0.0,15,2020-11-07,san_juan_del_cesar
2020-11-07 16:00:00,8.2,49,27.5,72,0.0,16,2020-11-07,san_juan_del_cesar
2020-11-07 17:00:00,9.0,61,26.6,76,0.0,17,2020-11-07,san_juan_del_cesar
2020-11-07 18:00:00,5.4,42,25.7,82,0.0,18,2020-11-07,san_juan_del_cesar
2020-11-07 19:00:00,6.4,52,25.5,84,0.0,19,2020-11-07,san_juan_del_cesar
2020-11-07 20:00:00,5.0,30,25.1,87,0.0,20,2020-11-07,san_juan_del_cesar
2020-11-07 21:00:00,4.5,29,24.4,90,0.0,21,2020-11-07,san_juan_del_cesar
2020-11-07 22:00:00,4.0,27,24.1,91,0.0,22,2020-11-07,san_juan_del_cesar
2020-11-07 23:00:00,5.5,11,23.4,94,0.0,23,2020-11-07,san_juan_del_cesar
2020-11-08 00:00:00,4.6,18,23.2,94,0.0,0,2020-11-08,san_juan_del_cesar
2020-11-08 01:00:00,4.3,42,22.9,95,0.0,1,2020-11-08,san_juan_del_cesar
2020-11-08 02:00:00,4.7,23,22.6,96,0.0,2,2020-11-08,san_juan_del_cesar
2020-11-08 03:00:00,3.7,349,22.6,96,0.0,3,2020-11-08,san_juan_del_cesar
2020-11-08 04:00:00,4.5,14,22.3,96,0.0,4,2020-11-08,san_juan_del_cesar
2020-11-08 05:00:00,4.0,27,22.3,96,0.0,5,2020-11-08,san_juan_del_cesar
2020-11-08 06:00:00,3.8,41,22.4,96,0.0,6,2020-11-08,san_juan_del_cesar
2020-11-08 07:00:00,4.6,342,24.5,87,0.0,7,2020-11-08,san_juan_del_cesar
2020-11-08 08:00:00,2.9,30,26.7,77,0.0,8,2020-11-08,san_juan_del_cesar
2020-11-08 09:00:00,5.1,45,28.2,70,0.0,9,2020-11-08,san_juan_del_cesar
2020-11-08 10:00:00,5.5,58,29.7,63,0.0,10,2020-11-08,san_juan_del_cesar
2020-11-08 11:00:00,5.8,120,30.8,58,0.0,11,2020-11-08,san_juan_del_cesar
2020-11-08 12:00:00,6.0,115,31.1,56,0.0,12,2020-11-08,san_juan_del_cesar
2020-11-08 13:00:00,9.0,67,30.1,59,0.1,13,2020-11-08,san_juan_del_cesar
2020-11-08 14:00:00,13.8,41,28.2,71,0.1,14,2020-11-08,san_juan_del_cesar
2020-11-08 15:00:00,10.8,37,28.1,71,0.0,15,2020-11-08,san_juan_del_cesar
2020-11-08 16:00:00,8.6,22,28.0,70,0.2,16,2020-11-08,san_juan_del_cesar
2020-11-08 17:00:00,7.2,53,26.7,77,0.3,17,2020-11-08,san_juan_del_cesar
2020-11-08 18:00:00,6.9,84,25.5,85,0.3,18,2020-11-08,san_juan_del_cesar
2020-11-08 19:00:00,7.4,51,25.8,84,0.0,19,2020-11-08,san_juan_del_cesar
2020-11-08 20:00:00,9.5,25,25.7,83,0.0,20,2020-11-08,san_juan_del_cesar
2020-11-08 21:00:00,8.9,47,25.3,83,0.0,21,2020-11-08,san_juan_del_cesar
2020-11-08 22:00:00,7.4,47,24.8,87,0.1,22,2020-11-08,san_juan_del_cesar
2020-11-08 23:00:00,5.5,11,24.0,91,0.0,23,2020-11-08,san_juan_del_cesar
2020-11-09 00:00:00,5.1,8,23.9,90,0.0,0,2020-11-09,san_juan_del_cesar
2020-11-09 01:00:00,4.3,42,23.6,92,0.0,1,2020-11-09,san_juan_del_cesar
2020-11-09 02:00:00,4.8,42,23.6,91,0.0,2,2020-11-09,san_juan_del_cesar
2020-11-09 03:00:00,5.3,28,23.4,92,0.0,3,2020-11-09,san_juan_del_cesar
2020-11-09 04:00:00,5.0,30,23.4,92,0.0,4,2020-11-09,san_juan_del_cesar
2020-11-09 05:00:00,5.0,21,23.0,93,0.0,5,2020-11-09,san_juan_del_cesar
2020-11-09 06:00:00,4.0,10,22.9,94,0.0,6,2020-11-09,san_juan_del_cesar
2020-11-09 07:00:00,7.7,37,25.1,82,0.0,7,2020-11-09,san_juan_del_cesar
2020-11-09 08:00:00,10.3,36,27.5,72,0.0,8,2020-11-09,san_juan_del_cesar
2020-11-09 09:00:00,12.3,38,29.1,64,0.0,9,2020-11-09,san_juan_del_cesar
2020-11-09 10:00:00,12.0,39,30.2,59,0.0,10,2020-11-09,san_juan_del_cesar
2020-11-09 11:00:00,13.0,42,31.1,54,0.0,11,2020-11-09,san_juan_del_cesar
2020-11-09 12:00:00,14.2,60,31.5,53,0.0,12,2020-11-09,san_juan_del_cesar
2020-11-09 13:00:00,11.4,24,30.9,56,0.0,13,2020-11-09,san_juan_del_cesar
2020-11-09 14:00:00,10.2,48,30.9,58,0.0,14,2020-11-09,san_juan_del_cesar
