datetime,wind_speed_10m,wind_direction_10m,temperature_2m,relative_humidity_2m,precipitation,hour,date,municipio
2020-11-07 00:00:00,7.0,291,24.3,97,0.1,0,2020-11-07,uribia
2020-11-07 01:00:00,5.9,281,24.0,97,0.4,1,2020-11-07,uribia
2020-11-07 02:00:00,4.1,232,24.0,97,0.4,2,2020-11-07,uribia
2020-11-07 03:00:00,4.7,203,23.7,98,0.0,3,2020-11-07,uribia
2020-11-07 04:00:00,5.1,184,23.6,98,0.0,4,2020-11-07,uribia
2020-11-07 05:00:00,4.5,209,23.5,98,0.0,5,2020-11-07,uribia
2020-11-07 06:00:00,4.4,235,23.6,98,0.0,6,2020-11-07,uribia
2020-11-07 07:00:00,3.3,311,24.3,95,0.0,7,2020-11-07,uribia
2020-11-07 08:00:00,8.4,340,25.3,90,0.0,8,2020-11-07,uribia
2020-11-07 09:00:00,2.9,330,26.2,86,0.1,9,2020-11-07,uribia
2020-11-07 10:00:00,3.7,331,26.9,85,0.2,10,2020-11-07,uribia
2020-11-07 11:00:00,7.0,348,27.2,86,0.2,11,2020-11-07,uribia
2020-11-07 12:00:00,8.7,318,27.5,82,1.9,12,2020-11-07,uribia
2020-11-07 13:00:00,4.4,305,27.6,81,0.8,13,2020-11-07,uribia
2020-11-07 14:00:00,13.0,316,27.5,82,0.2,14,2020-11-07,uribia
2020-11-07 15:00:00,11.2,327,26.6,86,0.0,15,2020-11-07,uribia
2020-11-07 16:00:00,9.9,327,26.5,86,0.0,16,2020-11-07,uribia
2020-11-07 17:00:00,4.5,331,26.4,86,0.0,17,2020-11-07,uribia
2020-11-07 18:00:00,1.8,349,25.8,91,0.0,18,2020-11-07,uribia
2020-11-07 19:00:00,6.2,324,26.1,92,0.0,19,2020-11-07,uribia
2020-11-07 20:00:00,4.9,324,26.0,93,0.0,20,2020-11-07,uribia
2020-11-07 21:00:00,2.6,326,25.9,92,0.0,21,2020-11-07,uribia
2020-11-07 22:00:00,3.1,216,25.5,94,0.0,22,2020-11-07,uribia
2020-11-07 23:00:00,3.7,241,24.9,97,0.0,23,2020-11-07,uribia
2020-11-08 00:00:00,5.6,297,24.9,97,0.0,0,2020-11-08,uribia
2020-11-08 01:00:00,3.8,311,25.0,97,0.0,1,2020-11-08,uribia
2020-11-08 02:00:00,2.1,301,25.1,96,0.0,2,2020-11-08,uribia
2020-11-08 03:00:00,4.2,149,24.6,98,0.0,3,2020-11-08,uribia
2020-11-08 04:00:00,5.2,146,24.1,100,0.0,4,2020-11-08,uribia
2020-11-08 05:00:00,4.4,145,23.8,99,0.0,5,2020-11-08,uribia
2020-11-08 06:00:00,4.5,166,23.6,99,0.0,6,2020-11-08,uribia
2020-11-08 07:00:00,2.7,113,24.7,94,0.0,7,2020-11-08,uribia
2020-11-08 08:00:00,6.2,126,26.2,89,0.0,8,2020-11-08,uribia
2020-11-08 09:00:00,3.5,114,27.5,82,0.0,9,2020-11-08,uribia
2020-11-08 10:00:00,3.9,124,28.8,77,0.1,10,2020-11-08,uribia
2020-11-08 11:00:00,3.8,131,29.2,77,0.2,11,2020-11-08,uribia
2020-11-08 12:00:00,4.2,110,30.0,76,0.3,12,2020-11-08,uribia
2020-11-08 13:00:00,6.3,103,28.7,76,4.7,13,2020-11-08,uribia
2020-11-08 14:00:00,7.7,332,26.9,83,3.4,14,2020-11-08,uribia
